               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.017795,             0.03063,           0.0013196,             0.99159,             0.97641,             0.98874,             0.87864,            0.011918,            0.028406,          0.00083441,           0.0051137,           0.0051137,           0.0051137
                  36,            0.017952,            0.031207,           0.0012711,             0.99284,             0.97439,             0.98768,              0.8792,            0.012363,            0.028923,          0.00080185,           0.0050379,           0.0050379,           0.0050379
                  37,            0.017364,            0.030432,           0.0012383,             0.99198,             0.97358,             0.98679,             0.87832,            0.012041,            0.028712,          0.00091545,           0.0049621,           0.0049621,           0.0049621
                  38,             0.01713,            0.030105,           0.0012364,             0.99279,             0.97429,             0.98751,             0.88348,            0.011427,             0.02796,          0.00085911,           0.0048864,           0.0048864,           0.0048864
                  39,            0.017334,            0.029868,           0.0012446,             0.99317,             0.97472,             0.98777,             0.88291,            0.011813,            0.028183,           0.0008091,           0.0048106,           0.0048106,           0.0048106
                  40,            0.016969,            0.029267,           0.0011959,             0.99249,             0.97517,             0.98821,             0.88608,              0.0116,            0.027872,          0.00086193,           0.0047348,           0.0047348,           0.0047348
                  41,            0.017235,            0.030095,           0.0012227,             0.99328,             0.97555,             0.98735,             0.88514,            0.011578,            0.027813,             0.00075,            0.004659,            0.004659,            0.004659
                  42,            0.016911,             0.02947,           0.0011626,             0.99317,              0.9755,             0.98743,             0.88764,            0.011366,            0.027486,          0.00080501,           0.0045833,           0.0045833,           0.0045833
                  43,            0.016927,            0.029635,           0.0011856,             0.99464,             0.97578,             0.98713,             0.88685,            0.011488,            0.027888,          0.00074476,           0.0045075,           0.0045075,           0.0045075
                  44,            0.016623,            0.029296,           0.0011602,             0.99314,             0.97519,             0.98745,             0.88705,            0.011547,            0.027797,          0.00078326,           0.0044317,           0.0044317,           0.0044317
                  45,            0.016599,            0.029099,           0.0011371,             0.99395,             0.97399,             0.98903,             0.88806,            0.011392,            0.027689,          0.00072625,           0.0043559,           0.0043559,           0.0043559
                  46,            0.016309,            0.028505,           0.0011215,             0.99503,             0.97593,             0.98769,             0.89066,            0.011052,            0.027307,          0.00075508,           0.0042802,           0.0042802,           0.0042802
                  47,            0.016502,             0.02896,           0.0013383,             0.99415,             0.97527,              0.9877,             0.89149,            0.011201,            0.027269,          0.00073137,           0.0042044,           0.0042044,           0.0042044
                  48,             0.01623,            0.028863,           0.0011056,              0.9942,             0.97234,             0.98661,             0.88875,            0.011263,            0.027569,          0.00081133,           0.0041286,           0.0041286,           0.0041286
                  49,            0.016067,            0.028467,           0.0011288,             0.99218,             0.97684,             0.98773,             0.88873,            0.011062,            0.027267,          0.00068742,           0.0040528,           0.0040528,           0.0040528
                  50,            0.016192,            0.027986,           0.0010803,              0.9937,             0.97705,             0.98831,             0.89381,             0.01121,            0.027096,          0.00074069,           0.0039771,           0.0039771,           0.0039771
                  51,            0.016023,            0.027884,           0.0010377,             0.99393,              0.9746,             0.98822,             0.89226,            0.011125,            0.027076,          0.00068404,           0.0039013,           0.0039013,           0.0039013
                  52,            0.015789,            0.027745,           0.0010474,             0.99381,             0.97749,               0.989,             0.89092,            0.010881,             0.02686,           0.0007136,           0.0038255,           0.0038255,           0.0038255
                  53,            0.015707,            0.027468,           0.0010579,             0.99341,             0.97775,             0.98808,              0.8943,            0.010813,            0.026853,           0.0006708,           0.0037497,           0.0037497,           0.0037497
                  54,            0.015832,            0.027683,           0.0010501,             0.99329,             0.97645,             0.98826,             0.89419,            0.010691,            0.026559,          0.00065226,            0.003674,            0.003674,            0.003674
                  55,            0.015621,            0.027538,           0.0010211,             0.99475,             0.97468,             0.98725,             0.89575,            0.010824,            0.026734,          0.00066048,           0.0035982,           0.0035982,           0.0035982
                  56,            0.015533,            0.027334,           0.0010102,             0.99528,             0.97446,             0.98797,             0.89544,            0.010816,            0.026867,          0.00069526,           0.0035224,           0.0035224,           0.0035224
                  57,            0.015275,            0.026989,           0.0010196,             0.99385,             0.97576,             0.98786,             0.89627,            0.010678,            0.026573,          0.00065262,           0.0034466,           0.0034466,           0.0034466
                  58,            0.015169,            0.026405,          0.00095271,             0.99414,             0.97516,             0.98752,             0.89616,            0.010681,             0.02658,          0.00061206,           0.0033709,           0.0033709,           0.0033709
