               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.014819,           0.0083201,           0.0010701,             0.93098,             0.94286,             0.97968,             0.93229,           0.0076695,           0.0049653,          0.00033626,           0.0066898,           0.0066898,           0.0066898
                  35,             0.01483,           0.0082789,           0.0010857,             0.92832,             0.94353,             0.97934,             0.93367,           0.0075317,            0.005012,           0.0003285,           0.0066595,           0.0066595,           0.0066595
                  36,            0.014619,           0.0082083,           0.0010395,             0.92617,             0.94652,             0.97898,             0.93373,           0.0075222,           0.0050255,          0.00033076,           0.0066292,           0.0066292,           0.0066292
                  37,            0.014712,           0.0082366,           0.0010272,             0.92931,             0.94521,             0.97927,             0.93343,            0.007517,           0.0050023,          0.00033331,           0.0065989,           0.0065989,           0.0065989
                  38,            0.014629,           0.0082039,           0.0010244,              0.9308,             0.94496,             0.97963,             0.93495,           0.0074251,           0.0049881,          0.00033985,           0.0065685,           0.0065685,           0.0065685
                  39,            0.014435,           0.0081634,          0.00099524,             0.93327,             0.94211,             0.97983,             0.93493,           0.0074352,           0.0049828,          0.00033922,           0.0065382,           0.0065382,           0.0065382
                  40,            0.014492,           0.0081447,           0.0010463,             0.93056,             0.94565,             0.98018,              0.9363,           0.0073737,           0.0049461,          0.00033796,           0.0065079,           0.0065079,           0.0065079
                  41,             0.01445,           0.0081721,           0.0010821,             0.93063,             0.94513,             0.98031,             0.93643,           0.0073815,           0.0049324,          0.00033269,           0.0064776,           0.0064776,           0.0064776
                  42,             0.01437,           0.0081337,           0.0010362,              0.9324,             0.94502,             0.98037,             0.93596,            0.007418,           0.0049226,          0.00032951,           0.0064473,           0.0064473,           0.0064473
                  43,            0.014281,           0.0080917,           0.0010355,             0.93222,             0.94552,             0.98042,              0.9362,           0.0074087,           0.0049094,          0.00033012,            0.006417,            0.006417,            0.006417
                  44,            0.014083,           0.0080092,          0.00094616,             0.93263,              0.9452,             0.98035,             0.93634,           0.0073961,           0.0049104,          0.00033076,           0.0063867,           0.0063867,           0.0063867
                  45,            0.014261,           0.0080822,           0.0010271,             0.93119,             0.94609,             0.98031,             0.93582,           0.0074195,           0.0049299,          0.00032947,           0.0063564,           0.0063564,           0.0063564
