               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
43,0.036013,0.069493,0.0068099,0.98997,0.96269,0.98611,0.81537,0.036202,0.0567,0.0053987,0.001566,0.001566,0.001566
44,0.037901,0.059352,0.0055914,0.99242,0.96373,0.9868,0.85514,0.037177,0.046391,0.0040116,0.0016204,0.0016204,0.0016204
45,0.029846,0.053295,0.0053333,0.99033,0.96651,0.9858,0.84142,0.025324,0.046423,0.0038922,0.0017541,0.0017541,0.0017541
46,0.025759,0.034551,0.0037956,0.98602,0.96134,0.98756,0.83877,0.019328,0.035838,0.0020761,0.0017947,0.0017947,0.0017947
47,0.024753,0.052793,0.0034889,0.98943,0.96992,0.98833,0.84397,0.018782,0.04809,0.0021016,0.0016918,0.0016918,0.0016918
48,0.022438,0.047835,0.0023434,0.99088,0.97045,0.98713,0.84906,0.016527,0.040277,0.0013769,0.0017075,0.0017075,0.0017075
49,0.024633,0.041944,0.0037983,0.98818,0.96359,0.98815,0.83442,0.018848,0.037984,0.00226,0.0015915,0.0015915,0.0015915
50,0.023841,0.046679,0.0033634,0.99054,0.96686,0.98816,0.84154,0.017773,0.042994,0.0020904,0.0016408,0.0016408,0.0016408
51,0.023367,0.044682,0.0032504,0.99093,0.96083,0.9869,0.8551,0.017473,0.041757,0.0018545,0.0018823,0.0018823,0.0018823
52,0.024599,0.047816,0.0029005,0.99205,0.97003,0.98761,0.85438,0.019822,0.04011,0.0020611,0.0020978,0.0020978,0.0020978
53,0.027909,0.049912,0.0035277,0.99112,0.96038,0.9868,0.83433,0.020889,0.046029,0.0019994,0.0025168,0.0025168,0.0025168
54,0.03099,0.071784,0.0038994,0.99204,0.95927,0.98531,0.84274,0.027529,0.055744,0.0015624,0.0018382,0.0018382,0.0018382
55,0.024691,0.046998,0.0029954,0.99194,0.96926,0.98837,0.84429,0.021965,0.04157,0.0021995,0.0020656,0.0020656,0.0020656
56,0.020188,0.040412,0.0021975,0.98956,0.96991,0.98788,0.8539,0.016128,0.034717,0.0017795,0.0020925,0.0020925,0.0020925
57,0.025072,0.045306,0.0031722,0.98878,0.9716,0.98828,0.85024,0.019389,0.04045,0.0023353,0.0020925,0.0020925,0.0020925
58,0.01759,0.047612,0.0024399,0.99129,0.96436,0.9861,0.83994,0.013353,0.038102,0.001742,0.0024544,0.0024544,0.0024544
59,0.024149,0.047764,0.0029868,0.98633,0.96882,0.98674,0.83801,0.016552,0.040707,0.0020891,0.0020534,0.0020534,0.0020534
60,0.019913,0.032594,0.0021307,0.99113,0.96971,0.98624,0.86168,0.017878,0.028086,0.0016453,0.0024565,0.0024565,0.0024565
61,0.031935,0.049454,0.0054533,0.99243,0.96281,0.98635,0.85007,0.03265,0.045649,0.0041038,0.0017272,0.0017272,0.0017272
62,0.031174,0.06454,0.0052758,0.981,0.9499,0.9858,0.81734,0.022385,0.060302,0.0035256,0.0018889,0.0018889,0.0018889
63,0.020761,0.031867,0.0029971,0.98814,0.96834,0.986,0.83168,0.012932,0.028162,0.001919,0.002152,0.002152,0.002152
64,0.028512,0.049155,0.0042147,0.98654,0.95701,0.98633,0.83332,0.021508,0.046139,0.0026973,0.0017386,0.0017386,0.0017386
65,0.018328,0.033401,0.0017619,0.98838,0.97282,0.98883,0.8623,0.01291,0.029958,0.0010529,0.0016281,0.0016281,0.0016281
66,0.036463,0.061787,0.0052904,0.99254,0.96018,0.98569,0.84705,0.036841,0.052647,0.003625,0.0016491,0.0016491,0.0016491
67,0.039664,0.069212,0.0062262,0.99107,0.96323,0.98625,0.83938,0.040148,0.053614,0.0043187,0.0017513,0.0017513,0.0017513
68,0.03745,0.051483,0.0048869,0.99169,0.96517,0.98602,0.85047,0.038934,0.048905,0.0040364,0.0016357,0.0016357,0.0016357
69,0.034749,0.050843,0.0048043,0.99084,0.96581,0.98672,0.85732,0.03172,0.040544,0.0035085,0.0015072,0.0015072,0.0015072
70,0.041492,0.065437,0.011706,0.39046,0.90346,0.60428,0.51028,0.042077,0.053779,0.0064729,0.0014515,0.0014515,0.0014515
71,0.034151,0.051258,0.0049086,0.99097,0.96568,0.98713,0.8531,0.032945,0.042011,0.0033586,0.0015575,0.0015575,0.0015575
72,0.029975,0.052329,0.0036295,0.99011,0.95432,0.98517,0.85176,0.024812,0.041943,0.0021817,0.0011875,0.0011875,0.0011875
73,0.043645,0.054075,0.010688,0.89428,0.93518,0.97976,0.81274,0.042522,0.044944,0.0070722,0.0015072,0.0015072,0.0015072
74,0.029597,0.02673,0.003208,0.99056,0.96128,0.98725,0.85387,0.027314,0.022877,0.0017112,0.0014148,0.0014148,0.0014148
75,0.035774,0.052484,0.0048846,0.9863,0.96594,0.98727,0.85688,0.032172,0.041561,0.0032346,0.0014001,0.0014001,0.0014001
76,0.035316,0.049457,0.0048255,0.99151,0.96303,0.98585,0.85818,0.033743,0.039563,0.0034577,0.0014529,0.0014529,0.0014529
77,0.02846,0.045971,0.0031996,0.99269,0.96151,0.98617,0.85674,0.023947,0.038093,0.0020275,0.0013124,0.0013124,0.0013124
78,0.044094,0.039613,0.0069265,0.98761,0.96337,0.9873,0.84305,0.043447,0.034025,0.0050004,0.0014536,0.0014536,0.0014536
79,0.028326,0.049239,0.0030136,0.99139,0.96601,0.98689,0.85746,0.02629,0.041092,0.0016331,0.0013596,0.0013596,0.0013596
80,0.03493,0.048823,0.0050035,0.9911,0.96462,0.98633,0.85632,0.034313,0.039507,0.0037965,0.0013791,0.0013791,0.0013791
81,0.031021,0.052756,0.0058376,0.97481,0.95371,0.98499,0.83058,0.027843,0.044076,0.0043401,0.0012745,0.0012745,0.0012745
82,0.034963,0.049279,0.0049115,0.99018,0.96469,0.98639,0.85686,0.032699,0.039781,0.003509,0.0014508,0.0014508,0.0014508
83,0.027912,0.037325,0.0033669,0.99035,0.95639,0.9855,0.84706,0.020357,0.030076,0.0020467,0.0013899,0.0013899,0.0013899
84,0.032777,0.048828,0.0045716,0.98971,0.9673,0.98598,0.85783,0.030297,0.041009,0.0032643,0.0016601,0.0016601,0.0016601
85,0.0345,0.05365,0.0047873,0.99289,0.96239,0.98598,0.85732,0.035839,0.043609,0.0033396,0.0014277,0.0014277,0.0014277
86,0.035695,0.049911,0.0048044,0.98954,0.96329,0.98506,0.85891,0.03349,0.040431,0.0035024,0.0016212,0.0016212,0.0016212
87,0.037105,0.054692,0.0057693,0.98869,0.9595,0.98527,0.85644,0.033687,0.041726,0.0042825,0.0016181,0.0016181,0.0016181
88,0.035384,0.052179,0.0046328,0.98983,0.96303,0.98708,0.85769,0.032756,0.042432,0.0030601,0.001553,0.001553,0.001553
89,0.036594,0.04349,0.0061066,0.99029,0.96625,0.98677,0.83993,0.030869,0.037947,0.0053727,0.0016164,0.0016164,0.0016164
90,0.035716,0.05041,0.0047015,0.99106,0.96621,0.98703,0.85534,0.033748,0.040905,0.0029732,0.0016317,0.0016317,0.0016317
91,0.041944,0.055244,0.0073235,0.96111,0.94046,0.98422,0.8456,0.041524,0.044342,0.0046606,0.0017389,0.0017389,0.0017389
92,0.039247,0.053874,0.0055651,0.98912,0.96501,0.98691,0.85203,0.033351,0.041862,0.003852,0.0015009,0.0015009,0.0015009
93,0.033552,0.0519,0.0046213,0.9911,0.96321,0.9861,0.85588,0.031251,0.041685,0.0029988,0.0016182,0.0016182,0.0016182
94,0.037186,0.046331,0.0044686,0.9798,0.96138,0.98655,0.83695,0.023577,0.038819,0.0027896,0.0018146,0.0018146,0.0018146
95,0.030366,0.044316,0.0041432,0.9891,0.96507,0.98619,0.85033,0.024648,0.034835,0.0027863,0.0016234,0.0016234,0.0016234
96,0.042606,0.053369,0.0080264,0.95153,0.95533,0.98476,0.83654,0.039636,0.042695,0.0057713,0.0017092,0.0017092,0.0017092
97,0.036029,0.050509,0.0047988,0.99212,0.96404,0.98634,0.85648,0.034013,0.041178,0.0032115,0.0016315,0.0016315,0.0016315
98,0.038487,0.051907,0.0062625,0.991,0.95849,0.98566,0.85725,0.039105,0.041542,0.0047856,0.0011566,0.0011566,0.0011566
99,0.035196,0.040835,0.0047589,0.98855,0.96741,0.98674,0.85897,0.032312,0.032891,0.0035032,0.0014719,0.0014719,0.0014719
