   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.98951,             0.96746,             0.98706,             0.83164,            0.027835,            0.049258,           0.0036711,             0.00876,              0.0124,             0.94268,             0.00056,              3.2237,             0.71027,             0.11944,             0.05551,             0.48351,             0.95603,             0.87279,             0.87404,                 0.2,              5.1875,                   0,             0.01308,             0.85716,             0.44416,                   0,             0.11883,             0.44134,                   0,                   0,                   0,                 0.5,             0.95288,                   0,                   0,              3.5032
             0.99032,             0.96964,             0.98726,             0.84877,            0.028336,            0.049971,            0.003673,             0.00847,              0.0124,             0.94426,             0.00054,              3.1854,             0.72816,             0.10772,             0.05551,             0.46413,             0.97604,             0.87365,             0.95137,                 0.2,              5.4958,                   0,             0.01638,             0.69631,             0.39088,                   0,             0.11764,             0.44765,                   0,                   0,                   0,                 0.5,             0.95288,                   0,                   0,              3.5032
             0.98918,             0.96687,             0.98711,             0.84336,            0.019362,            0.051051,           0.0019827,             0.00849,             0.01239,             0.94444,             0.00054,              3.1846,             0.72756,             0.10757,             0.05551,             0.46416,             0.97715,             0.87506,             0.95231,                 0.2,              5.4944,                   0,             0.01639,             0.69685,             0.39065,                   0,             0.11774,             0.44798,                   0,                   0,                   0,                 0.5,             0.95198,                   0,                   0,              3.4898
             0.99235,             0.96596,             0.98791,             0.84047,            0.018896,            0.049575,           0.0020978,             0.00867,             0.01234,             0.94093,             0.00055,              3.1854,             0.70502,             0.11065,             0.05629,             0.45184,             0.97604,             0.87927,              0.9426,                 0.2,              5.4261,                   0,             0.01595,             0.70434,             0.38528,                   0,             0.11541,             0.44608,                   0,                   0,                   0,                 0.5,             0.96399,                   0,                   0,               3.443
             0.99067,             0.96869,             0.98758,             0.85154,            0.027197,            0.045928,           0.0033712,             0.00844,             0.01328,             0.93383,             0.00059,              3.1854,              0.9424,              0.1099,             0.05199,             0.52999,             0.97604,             0.86021,             0.80782,                 0.2,              5.6815,                   0,             0.01191,              0.7711,             0.32548,                   0,              0.0892,             0.44765,                   0,                   0,                   0,                 0.5,             0.80543,                   0,                   0,              3.6439
             0.99133,              0.9706,             0.98907,             0.84836,            0.014453,            0.042528,           0.0015055,             0.01055,             0.01064,              0.9501,             0.00046,               2.955,             0.78604,             0.10516,             0.05455,             0.53566,             0.92483,              1.0542,             0.94769,                 0.2,              3.8407,                   0,              0.0159,              0.6854,             0.35636,                   0,             0.10406,              0.4778,                   0,                   0,                   0,                 0.5,             0.99881,                   0,                   0,                   3
              0.9872,             0.96811,             0.98897,             0.84741,            0.014288,            0.045199,           0.0015922,             0.01101,             0.01069,             0.94969,             0.00047,              2.7426,             0.72111,             0.10496,             0.05488,             0.52748,             0.91094,              1.0606,              0.9736,                 0.2,              4.2266,                   0,             0.01747,             0.68516,              0.3602,                   0,             0.10746,             0.50547,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4638
             0.99183,             0.97051,             0.98933,             0.84916,             0.01044,            0.028719,           0.0010993,             0.01006,             0.01214,             0.94969,             0.00052,              2.9133,                0.95,             0.11118,             0.04279,             0.56401,             0.94892,             0.78498,             0.90629,                 0.2,              3.2069,                   0,             0.01278,             0.74131,             0.39203,                   0,             0.06266,              0.4565,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
              0.9898,             0.96836,             0.98871,             0.83351,            0.016769,            0.040403,           0.0017392,             0.00952,             0.01069,             0.93223,              0.0005,              2.9937,              0.6531,             0.10128,             0.05145,             0.49799,             0.92577,             0.93355,             0.96269,                 0.2,              3.8423,                   0,              0.0159,             0.76838,             0.35528,                   0,             0.10197,             0.46749,                   0,                   0,                   0,                 0.5,             0.98671,                   0,                   0,              3.4868
              0.9921,             0.96563,             0.98823,             0.83991,            0.014791,            0.044926,           0.0019023,             0.01094,             0.01058,             0.91733,             0.00046,              2.7589,             0.77102,             0.10525,             0.05346,             0.48971,              1.0418,              1.0726,             0.99237,                 0.2,              3.8423,                   0,             0.01761,             0.68516,             0.35636,                   0,             0.10406,             0.47773,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.7968
             0.99179,             0.96941,             0.98898,             0.84569,            0.012948,            0.044944,           0.0011966,             0.01167,             0.01048,             0.95713,             0.00045,              3.2185,             0.78604,             0.11105,             0.04955,              0.5138,             0.92064,              1.1062,              1.0167,                 0.2,               3.614,                   0,             0.01474,             0.71002,             0.31219,                   0,             0.10223,             0.48821,                   0,                   0,                   0,                 0.5,             0.93039,                   0,                   0,                   3
             0.99065,             0.96875,             0.98884,             0.84632,            0.012876,            0.041267,           0.0014493,             0.01051,                0.01,             0.94381,             0.00046,              2.6687,             0.80923,             0.10721,             0.04949,             0.53022,             0.87642,              1.0171,             0.95759,                 0.2,              3.8423,                   0,             0.01508,             0.76571,              0.3476,                   0,             0.10439,             0.47832,                   0,                   0,                   0,                 0.5,             0.98407,                   0,                   0,              2.5916
             0.98572,             0.95802,             0.98529,             0.82424,            0.016238,            0.051846,           0.0024165,             0.01056,             0.01064,             0.88119,             0.00048,              2.2745,             0.85378,             0.05305,             0.05694,             0.33902,             0.71607,              1.1186,              1.1708,                 0.2,              3.8423,                   0,             0.01661,             0.68516,              0.2767,                   0,             0.13005,             0.47832,                   0,                   0,                   0,                 0.5,             0.60842,                   0,                   0,              3.0317
             0.98806,             0.96895,             0.98636,             0.84663,             0.02094,             0.03769,           0.0084537,             0.01025,             0.01064,             0.92071,             0.00048,              3.5331,             0.93575,             0.08833,              0.0509,             0.44014,             0.98415,             0.95341,             0.94769,                 0.2,               3.145,                   0,               0.018,             0.85367,              0.3918,                   0,             0.08984,             0.47832,                   0,                   0,                   0,                 0.5,             0.93246,                   0,                   0,              4.2747
