               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02265,            0.056983,           0.0024862,              0.9952,             0.97366,             0.98665,             0.87172,            0.013259,            0.046141,           0.0016855,            0.006535,            0.006535,            0.006535
                  37,            0.022108,            0.056071,           0.0024469,             0.99476,              0.9731,             0.98695,             0.87006,            0.013864,            0.047069,           0.0020404,            0.006436,            0.006436,            0.006436
                  38,            0.022087,            0.055306,           0.0023214,             0.99377,             0.97591,             0.98808,             0.87524,            0.013469,            0.045942,           0.0018017,            0.006337,            0.006337,            0.006337
                  39,            0.021931,             0.05582,           0.0023559,             0.99446,             0.97345,             0.98679,             0.87649,            0.013118,            0.046244,           0.0017319,            0.006238,            0.006238,            0.006238
                  40,            0.021347,            0.054171,           0.0023285,             0.99507,             0.97429,             0.98872,             0.87642,            0.013072,             0.04618,           0.0016185,            0.006139,            0.006139,            0.006139
                  41,            0.021162,            0.053511,           0.0024613,             0.99229,             0.97666,             0.98731,             0.88071,            0.012982,             0.04537,           0.0015209,             0.00604,             0.00604,             0.00604
                  42,            0.020921,            0.053648,            0.002267,             0.99325,             0.97427,             0.98731,             0.87944,            0.012833,            0.045062,           0.0016659,            0.005941,            0.005941,            0.005941
                  43,            0.021071,            0.054766,           0.0022475,              0.9947,             0.97282,             0.98796,             0.87831,            0.012772,            0.044915,           0.0016001,            0.005842,            0.005842,            0.005842
                  44,            0.021305,            0.054177,            0.002296,             0.99464,             0.97157,             0.98732,             0.88036,             0.01257,            0.044975,            0.001805,            0.005743,            0.005743,            0.005743
                  45,            0.020571,            0.052679,           0.0022902,             0.99307,             0.97346,             0.98719,               0.881,            0.012926,            0.044764,           0.0018989,            0.005644,            0.005644,            0.005644
                  46,            0.020403,            0.052597,           0.0022295,             0.99354,             0.97549,             0.98788,             0.88311,              0.0131,            0.044341,           0.0016655,            0.005545,            0.005545,            0.005545
                  47,            0.020097,            0.052168,            0.002168,             0.99414,              0.9748,             0.98774,             0.88358,            0.012411,            0.043839,           0.0014653,            0.005446,            0.005446,            0.005446
                  48,            0.020029,             0.05161,           0.0021475,             0.99548,              0.9747,             0.98708,             0.88693,            0.012242,            0.043314,           0.0015923,            0.005347,            0.005347,            0.005347
                  49,            0.020842,            0.053715,           0.0021679,             0.99441,             0.97422,             0.98649,             0.88545,            0.012389,            0.043894,           0.0014953,            0.005248,            0.005248,            0.005248
                  50,             0.01986,            0.050246,           0.0021053,             0.99551,             0.97373,              0.9871,             0.88221,            0.012527,            0.043565,           0.0015353,            0.005149,            0.005149,            0.005149
                  51,            0.019531,            0.050006,           0.0020551,             0.99506,             0.97467,             0.98764,             0.89025,            0.012103,            0.042861,            0.001467,             0.00505,             0.00505,             0.00505
                  52,            0.019344,            0.049585,           0.0020522,             0.99489,             0.97468,             0.98854,             0.88942,            0.012222,            0.042808,           0.0014643,            0.004951,            0.004951,            0.004951
                  53,            0.019883,            0.050551,           0.0021234,             0.99385,             0.97606,             0.98705,             0.89035,            0.012216,            0.043469,           0.0014328,            0.004852,            0.004852,            0.004852
                  54,            0.019399,            0.050151,           0.0020287,             0.99474,             0.97404,             0.98637,             0.88772,            0.012135,            0.042896,           0.0016033,            0.004753,            0.004753,            0.004753
                  55,            0.019078,            0.049152,           0.0020297,             0.99435,             0.97564,             0.98678,             0.89113,            0.011927,            0.042432,           0.0014548,            0.004654,            0.004654,            0.004654
                  56,            0.019292,            0.050103,           0.0020016,             0.99393,             0.97497,             0.98684,             0.89315,            0.012093,            0.042791,           0.0014416,            0.004555,            0.004555,            0.004555
                  57,            0.019161,            0.049338,           0.0019494,             0.99518,             0.97541,             0.98661,             0.89044,             0.01207,            0.043033,           0.0014888,            0.004456,            0.004456,            0.004456
                  58,            0.018849,            0.048917,           0.0019919,             0.99391,             0.97509,             0.98597,             0.89211,            0.011881,            0.042726,           0.0014442,            0.004357,            0.004357,            0.004357
                  59,            0.018943,            0.049598,           0.0019885,               0.995,             0.97643,             0.98694,             0.89272,            0.011815,            0.042302,           0.0013413,            0.004258,            0.004258,            0.004258
                  60,            0.018677,            0.048733,           0.0019387,             0.99426,             0.97496,             0.98643,             0.89384,             0.01168,            0.042082,           0.0014094,            0.004159,            0.004159,            0.004159
                  61,            0.018954,            0.049001,           0.0019311,             0.99496,             0.97552,             0.98679,             0.89429,            0.011917,            0.042209,           0.0013092,             0.00406,             0.00406,             0.00406
                  62,            0.018686,            0.048917,           0.0019164,              0.9958,             0.97508,             0.98753,             0.89641,            0.011505,            0.041317,           0.0014622,            0.003961,            0.003961,            0.003961
                  63,            0.017964,            0.046693,           0.0019051,             0.99543,             0.97532,             0.98634,             0.89584,            0.011597,            0.041939,           0.0014118,            0.003862,            0.003862,            0.003862
                  64,             0.01817,            0.047444,           0.0018453,             0.99541,             0.97583,             0.98726,             0.89605,            0.011537,            0.041551,           0.0013485,            0.003763,            0.003763,            0.003763
                  65,            0.017867,            0.046321,           0.0018351,              0.9956,             0.97604,             0.98736,             0.89761,            0.011557,            0.041764,           0.0013799,            0.003664,            0.003664,            0.003664
                  66,            0.017813,            0.046602,           0.0018474,             0.99404,             0.97717,              0.9875,             0.89966,            0.011488,            0.041321,           0.0012865,            0.003565,            0.003565,            0.003565
                  67,             0.01775,            0.045881,           0.0018558,             0.99427,              0.9762,             0.98636,             0.89642,            0.011458,            0.041471,           0.0014332,            0.003466,            0.003466,            0.003466
                  68,             0.01771,            0.046374,           0.0018458,             0.99597,             0.97657,             0.98738,             0.89795,            0.011529,            0.041145,           0.0013763,            0.003367,            0.003367,            0.003367
                  69,            0.017795,            0.046804,           0.0018788,             0.99562,             0.97611,             0.98713,             0.89846,            0.011408,            0.041287,           0.0013606,            0.003268,            0.003268,            0.003268
                  70,             0.01731,            0.045079,           0.0017852,             0.99536,              0.9763,             0.98721,             0.89884,            0.011341,            0.040667,           0.0014438,            0.003169,            0.003169,            0.003169
                  71,            0.017281,            0.044439,           0.0018248,             0.99563,             0.97552,             0.98741,             0.90055,            0.011233,            0.040288,           0.0014513,             0.00307,             0.00307,             0.00307
                  72,            0.017361,            0.044865,           0.0017602,             0.99507,             0.97604,             0.98754,             0.90104,            0.011195,             0.04051,           0.0012611,            0.002971,            0.002971,            0.002971
                  73,             0.01718,            0.044556,           0.0017566,             0.99595,             0.97563,             0.98746,             0.90142,            0.011226,            0.040608,           0.0014305,            0.002872,            0.002872,            0.002872
                  74,            0.017112,            0.044824,           0.0017475,             0.99491,             0.97565,             0.98638,              0.9022,             0.01118,            0.040375,           0.0013958,            0.002773,            0.002773,            0.002773
                  75,             0.01705,            0.044034,           0.0017404,             0.99579,             0.97508,             0.98763,             0.90092,            0.011128,            0.040302,           0.0015699,            0.002674,            0.002674,            0.002674
                  76,            0.016992,            0.044341,           0.0017236,             0.99301,             0.97668,             0.98663,             0.90265,            0.011046,             0.04025,           0.0014253,            0.002575,            0.002575,            0.002575
                  77,             0.01663,            0.043913,           0.0017069,              0.9954,             0.97587,             0.98747,             0.90338,            0.010993,            0.040036,           0.0013781,            0.002476,            0.002476,            0.002476
                  78,            0.016406,            0.042995,           0.0016902,             0.99367,             0.97705,             0.98774,             0.90318,            0.010949,            0.040133,           0.0012258,            0.002377,            0.002377,            0.002377
                  79,            0.016502,            0.043455,           0.0016589,              0.9945,             0.97678,              0.9882,             0.90414,            0.011085,             0.04036,           0.0013016,            0.002278,            0.002278,            0.002278
                  80,            0.016228,            0.041828,           0.0016033,             0.99364,             0.97617,             0.98686,             0.90261,            0.011021,            0.040208,           0.0013896,            0.002179,            0.002179,            0.002179
                  81,             0.01635,            0.042978,           0.0016362,             0.99539,             0.97638,             0.98732,             0.90535,            0.010854,             0.03987,           0.0011927,             0.00208,             0.00208,             0.00208
                  82,            0.016347,            0.041992,           0.0016656,             0.99515,             0.97663,             0.98772,             0.90473,            0.010856,            0.040101,           0.0011414,            0.001981,            0.001981,            0.001981
                  83,             0.01633,            0.042611,           0.0016367,             0.99445,             0.97736,             0.98858,             0.90519,            0.010813,            0.039879,            0.001161,            0.001882,            0.001882,            0.001882
                  84,            0.016129,            0.042798,           0.0016257,             0.99471,             0.97681,             0.98766,             0.90611,            0.010812,            0.039598,           0.0013143,            0.001783,            0.001783,            0.001783
                  85,            0.015665,            0.041183,           0.0015401,             0.99494,             0.97632,             0.98706,             0.90629,            0.010793,            0.039811,           0.0012298,            0.001684,            0.001684,            0.001684
                  86,            0.015929,            0.040603,           0.0015838,             0.99512,             0.97691,             0.98769,             0.90674,            0.010789,            0.039758,           0.0011627,            0.001585,            0.001585,            0.001585
                  87,            0.015723,            0.041014,           0.0015384,             0.99511,             0.97644,             0.98703,             0.90639,            0.010769,            0.039646,           0.0011112,            0.001486,            0.001486,            0.001486
                  88,            0.015658,            0.040236,           0.0015137,             0.99369,             0.97774,              0.9876,             0.90621,            0.010743,            0.039832,            0.001263,            0.001387,            0.001387,            0.001387
                  89,            0.015909,            0.040961,           0.0016014,              0.9944,             0.97773,             0.98772,             0.90767,            0.010723,            0.039856,           0.0012259,            0.001288,            0.001288,            0.001288
                  90,            0.015509,            0.040693,           0.0014976,             0.99385,             0.97775,             0.98801,             0.90717,            0.010673,            0.039714,           0.0011926,            0.001189,            0.001189,            0.001189
                  91,            0.015549,            0.040397,            0.001532,             0.99465,             0.97628,             0.98822,             0.90883,            0.010639,            0.039667,           0.0011239,             0.00109,             0.00109,             0.00109
                  92,            0.015572,            0.041001,            0.001555,             0.99366,             0.97698,             0.98823,             0.90912,            0.010685,            0.039613,           0.0011483,            0.000991,            0.000991,            0.000991
                  93,            0.015193,            0.039135,           0.0014948,             0.99483,              0.9782,             0.98765,             0.90871,            0.010639,            0.039689,            0.001189,            0.000892,            0.000892,            0.000892
                  94,            0.015327,            0.039669,           0.0015013,             0.99521,             0.97774,             0.98779,             0.90936,            0.010575,            0.039379,           0.0011735,            0.000793,            0.000793,            0.000793
                  95,            0.015291,            0.039833,           0.0015139,             0.99474,             0.97773,             0.98797,             0.90928,            0.010574,            0.039408,           0.0011108,            0.000694,            0.000694,            0.000694
                  96,            0.015173,            0.039489,           0.0015161,             0.99525,             0.97642,              0.9879,             0.90925,             0.01058,              0.0392,           0.0011799,            0.000595,            0.000595,            0.000595
                  97,            0.015385,            0.039595,           0.0015592,             0.99524,             0.97683,             0.98837,             0.91019,            0.010573,            0.039445,             0.00115,            0.000496,            0.000496,            0.000496
                  98,            0.015229,            0.039374,           0.0015099,              0.9958,             0.97734,             0.98768,             0.91014,            0.010532,            0.039082,           0.0011441,            0.000397,            0.000397,            0.000397
                  99,             0.01534,            0.040116,           0.0014991,             0.99593,             0.97692,             0.98849,             0.91129,            0.010511,            0.039056,           0.0011094,            0.000298,            0.000298,            0.000298
